Country,Weight,X,Y,Color
'Afghanistan',3.970496188,0.031111162,-0.009354,#FFA07A
'Algeria',3.376402332,0.014655891,0.036372501,#E9967A
'Argentina',13.76081039,0.0157742,0.028897,#4B0082
'Australia',16.52767399,0.037525497,-0.081218399,#FF00FF
'Austria',1.456833026,-0.007968355,0.003173825,#7B68EE
'Belgium',1.741610136,-0.002407706,-0.003313211,#483D8B
'Brazil',5.729071993,0.059118368,-0.091464996,#B8860B
'Bulgaria',3.424194301,0.126345754,-0.098923728,#6495ED
'Canada',26.33821454,0.047035314,-0.233193994,#0000CD
'Chile',3.075318888,0.06579984,-0.035428502,#FF1493
'China',123.0418584,0.029834261,-0.661014378,#FFE4C4
'Czech Republic',4.373439335,0.023314042,-0.015332526,#EE82EE
'Egypt',3.38938972,-0.078897171,0.039214417,#F5DEB3
'Ethiopia',1.260625674,0.061743774,-0.022125551,#DA70D6
'France',28.32481843,-0.006990623,-0.001990475,#FFFAF0
'Germany',17.83574954,0.006628484,-0.04336505,#FFDEAD
'Greece',2.705791441,0.131256014,-0.095567249,#FFFFF0
'Hungary',5.245785485,-0.017539859,0.038595427,#8B4513
'India',51.41142275,0.040623549,-0.430848807,#ADFF2F
'Iran Islamic Republic',11.04039238,-0.069512568,0.536658168,#00FF00
'Iraq',2.567951588,0.143056124,-0.15946345,#FDF5E6
'Italy',11.15948704,-0.09725894,0.384684175,#FFC0CB
'Kazakhstan',14.27403025,-0.008355424,0.498981595,#D8BFD8
'Lithuania',1.310838465,0.069486216,-0.017953224,#2F4F4F
'Mexico',3.720449151,0.007278052,-0.005753234,#FFFFE0
'Morocco',3.206853686,0.029320365,-0.0007051,#5F9EA0
'Netherlands',1.076797489,0.026556695,-0.005551259,#FFFAFA
'Pakistan',15.1968248,0.008847091,0.0123748,#7FFFD4
'Poland',7.656704093,0.037076928,-0.044844899,#FF6347
'Romania',7.018156049,0.048701271,-0.084887706,#7CFC00
'Russian Federation',54.45861257,-0.000849103,0.679491162,#FFEBCD
'Slovak Republic',1.556871849,-0.052435387,0.025591999,#228B22
'South Africa',5.850422907,0.115058877,-0.176206678,#4169E1
'Spain',8.329507915,0.009783717,0.039918698,#F8F8FF
'Sweden',1.951436973,-0.102418378,0.033866294,#DDA0DD
'Syrian Arab Republic',3.355298588,-0.103033707,0.194506302,#FAEBD7
'Tunisia',1.910113111,0.030873129,-0.0038096,#20B2AA
'Turkey',22.92792685,0.045142077,-0.173560411,#DC143C
'Ukraine',18.69652809,0.089909382,-0.409389198,#87CEFA
'United Kingdom',8.770713535,-0.075333975,0.069256514,#4682B4
'United States',79.52530283,0.013263889,0.157432005,#D2B48C
'Uruguay',1.154212678,-0.002982598,0.00872345,#9ACD32
